,PRCP,TMAX,TMIN,yr,mo,dy,warmth,wetness
132,0,69.08,35.06,1941,9,21,Warm,Dry
133,0,68,35.96,1941,9,22,Warm,Dry
134,0,71.06,37.94,1941,9,23,Warm,Dry
135,0,78.08,44.06,1941,9,24,Warm,Dry
136,0,68,50,1941,9,25,Warm,Dry
137,0,66.92,48.02,1941,9,26,Warm,Dry
138,0,68,41,1941,9,27,Warm,Dry
139,0.090551181,62.06,42.08,1941,9,28,Warm,Damp
140,0,66.92,48.02,1941,9,29,Warm,Dry
141,0.299212598,64.94,51.08,1941,9,30,Warm,Really Wet
142,0.11023622,64.94,46.94,1941,10,1,Warm,Damp
143,0,60.08,37.94,1941,10,2,Cold,Dry
144,0.051181102,60.08,48.92,1941,10,3,Cold,Damp
145,0,62.06,39.92,1941,10,4,Warm,Dry
146,0,66.02,35.96,1941,10,5,Warm,Dry
147,0.220472441,55.94,46.94,1941,10,6,Cold,Really Wet
148,0.291338583,53.96,42.98,1941,10,7,Cold,Really Wet
149,0.11023622,57.02,42.98,1941,10,8,Cold,Damp
150,0.149606299,60.98,50,1941,10,9,Warm,Really Wet
151,0.311023622,62.96,46.94,1941,10,10,Warm,Really Wet
152,0.429133858,55.94,44.96,1941,10,11,Cold,Really Wet
153,0.200787402,62.06,42.98,1941,10,12,Warm,Really Wet
154,0,60.98,41,1941,10,13,Warm,Dry
155,0,71.06,46.94,1941,10,14,Warm,Dry
156,0,66.02,44.96,1941,10,15,Warm,Dry
157,0.291338583,57.92,48.02,1941,10,16,Cold,Really Wet
158,0,64.94,48.92,1941,10,17,Warm,Dry
159,0.251968504,55.94,48.92,1941,10,18,Cold,Really Wet
160,0,57.02,46.04,1941,10,19,Cold,Dry
161,0,57.92,35.06,1941,10,20,Cold,Dry
162,0,59,39.02,1941,10,21,Cold,Dry
163,0,62.06,42.08,1941,10,22,Warm,Dry
164,0,57.92,39.92,1941,10,23,Cold,Dry
165,0,69.08,39.02,1941,10,24,Warm,Dry
166,0.031496063,55.04,39.02,1941,10,25,Cold,Damp
167,0,62.06,39.92,1941,10,26,Warm,Dry
168,0.220472441,53.96,46.04,1941,10,27,Cold,Really Wet
169,0.031496063,55.94,39.92,1941,10,28,Cold,Damp
170,0,57.92,39.92,1941,10,29,Cold,Dry
171,0,60.08,37.94,1941,10,30,Cold,Dry
172,0.051181102,55.94,44.06,1941,10,31,Cold,Damp
173,0,53.96,39.92,1941,11,1,Cold,Dry
174,0,55.94,35.06,1941,11,2,Cold,Dry
175,0.881889764,59,42.98,1941,11,3,Cold,Really Wet
176,0.881889764,59,48.02,1941,11,4,Cold,Really Wet
177,0.011811024,64.04,39.92,1941,11,5,Warm,Damp
178,0,55.94,37.94,1941,11,6,Cold,Dry
179,0,64.04,37.04,1941,11,7,Warm,Dry
180,0,71.06,37.04,1941,11,8,Warm,Dry
181,0,41,41,1941,11,9,Cold,Dry
182,0.661417323,57.92,42.08,1941,11,10,Cold,Really Wet
183,0.251968504,60.98,39.92,1941,11,11,Warm,Really Wet
184,0,51.98,32,1941,11,12,Cold,Dry
185,1.228346457,55.04,41,1941,11,13,Cold,Really Wet
186,0.330708661,51.08,44.06,1941,11,14,Cold,Really Wet
187,0.350393701,48.02,39.92,1941,11,15,Cold,Really Wet
188,0.059055118,48.92,35.96,1941,11,16,Cold,Damp
189,0,53.06,35.06,1941,11,17,Cold,Dry
190,0,48.02,33.08,1941,11,18,Cold,Dry
191,0,48.02,26.96,1941,11,19,Cold,Dry
192,0,46.94,21.02,1941,11,20,Cold,Dry
193,0,46.04,30.02,1941,11,21,Cold,Dry
194,0,39.02,26.06,1941,11,22,Cold,Dry
195,0,48.02,28.94,1941,11,23,Cold,Dry
196,0.051181102,51.08,37.94,1941,11,24,Cold,Damp
197,0.031496063,51.08,42.08,1941,11,25,Cold,Damp
198,0.039370079,50,37.94,1941,11,26,Cold,Damp
199,0,46.94,35.96,1941,11,27,Cold,Dry
200,0.318897638,51.98,33.98,1941,11,28,Cold,Really Wet
201,0.031496063,57.92,44.06,1941,11,29,Cold,Damp
202,0.039370079,53.06,39.92,1941,11,30,Cold,Damp
203,0.421259843,57.02,42.98,1941,12,1,Cold,Really Wet
204,0.578740157,57.02,39.92,1941,12,2,Cold,Really Wet
205,0.220472441,39.92,33.98,1941,12,3,Cold,Really Wet
206,0.090551181,51.98,33.98,1941,12,4,Cold,Damp
207,0.228346457,51.08,41,1941,12,5,Cold,Really Wet
208,0.078740157,51.98,39.92,1941,12,6,Cold,Damp
209,0,46.94,30.92,1941,12,7,Cold,Dry
210,0.019685039,44.06,33.98,1941,12,8,Cold,Damp
211,0.059055118,46.94,39.92,1941,12,9,Cold,Damp
212,0,46.04,35.96,1941,12,10,Cold,Dry
213,0.011811024,44.06,33.98,1941,12,11,Cold,Damp
214,0,39.92,33.08,1941,12,12,Cold,Dry
215,0.149606299,42.98,35.06,1941,12,13,Cold,Really Wet
216,0.169291339,50,37.04,1941,12,14,Cold,Really Wet
217,1.330708661,53.06,42.98,1941,12,15,Cold,Really Wet
218,0.338582677,50,35.96,1941,12,16,Cold,Really Wet
219,0.350393701,44.06,35.96,1941,12,17,Cold,Really Wet
220,1.070866142,51.08,39.02,1941,12,18,Cold,Really Wet
221,1.681102362,46.94,42.08,1941,12,19,Cold,Really Wet
222,0.311023622,50,37.94,1941,12,20,Cold,Really Wet
223,0.141732283,42.98,33.98,1941,12,21,Cold,Really Wet
224,0.468503937,46.94,35.96,1941,12,22,Cold,Really Wet
225,0.531496063,39.92,35.96,1941,12,23,Cold,Really Wet
226,0,39.02,33.98,1941,12,24,Cold,Dry
227,0,44.06,28.04,1941,12,25,Cold,Dry
228,0,42.08,21.92,1941,12,26,Cold,Dry
229,0,44.06,24.98,1941,12,27,Cold,Dry
230,0,44.06,28.94,1941,12,28,Cold,Dry
231,0,37.04,24.08,1941,12,29,Cold,Dry
232,0,37.94,26.96,1941,12,30,Cold,Dry
233,0,32,17.06,1941,12,31,Cold,Dry
234,0,35.06,10.94,1942,1,1,Cold,Dry
235,0,33.08,21.92,1942,1,2,Cold,Dry
236,0,37.94,26.06,1942,1,3,Cold,Dry
237,0,37.04,15.08,1942,1,4,Cold,Dry
238,0,37.94,10.04,1942,1,5,Cold,Dry
239,0,35.06,15.08,1942,1,6,Cold,Dry
240,0.771653543,33.08,28.94,1942,1,7,Cold,Really Wet
241,0.480314961,35.06,32,1942,1,8,Cold,Really Wet
242,0.299212598,42.98,33.08,1942,1,9,Cold,Really Wet
243,0,42.08,30.02,1942,1,10,Cold,Dry
244,0,44.06,28.94,1942,1,11,Cold,Dry
245,0.031496063,42.08,33.08,1942,1,12,Cold,Damp
246,0,48.02,28.04,1942,1,13,Cold,Dry
247,0,53.96,24.08,1942,1,14,Cold,Dry
248,0,41,28.94,1942,1,15,Cold,Dry
249,0.039370079,42.98,33.98,1942,1,16,Cold,Damp
250,0,44.96,33.98,1942,1,17,Cold,Dry
251,0,44.96,28.04,1942,1,18,Cold,Dry
252,0,55.04,24.98,1942,1,19,Cold,Dry
253,0,53.96,28.04,1942,1,20,Cold,Dry
254,0,53.96,24.98,1942,1,21,Cold,Dry
255,0,62.96,26.96,1942,1,22,Warm,Dry
256,0.200787402,46.94,33.98,1942,1,23,Cold,Really Wet
257,0.779527559,48.02,41,1942,1,24,Cold,Really Wet
258,0.251968504,53.06,42.08,1942,1,25,Cold,Really Wet
259,0.5,55.94,42.08,1942,1,26,Cold,Really Wet
260,0.188976378,53.96,37.04,1942,1,27,Cold,Really Wet
261,0.208661417,50,33.08,1942,1,28,Cold,Really Wet
262,0,42.98,28.04,1942,1,29,Cold,Dry
263,0.019685039,44.06,28.04,1942,1,30,Cold,Damp
264,0.318897638,46.04,35.96,1942,1,31,Cold,Really Wet
265,0.169291339,50,42.08,1942,2,1,Cold,Really Wet
266,0.188976378,51.08,39.92,1942,2,2,Cold,Really Wet
267,0.488188976,48.02,39.02,1942,2,3,Cold,Really Wet
268,0.988188976,46.94,41,1942,2,4,Cold,Really Wet
269,0.149606299,48.92,35.06,1942,2,5,Cold,Really Wet
270,0.019685039,51.98,41,1942,2,6,Cold,Damp
271,0.019685039,51.08,33.98,1942,2,7,Cold,Damp
272,0.350393701,46.04,42.08,1942,2,8,Cold,Really Wet
273,0.228346457,46.94,33.98,1942,2,9,Cold,Really Wet
274,0.11023622,53.96,42.98,1942,2,10,Cold,Damp
275,0,55.04,32,1942,2,11,Cold,Dry
276,0,48.02,28.04,1942,2,12,Cold,Dry
277,0,50,24.98,1942,2,13,Cold,Dry
278,0,48.02,28.04,1942,2,14,Cold,Dry
279,0,50,26.96,1942,2,15,Cold,Dry
280,0,48.02,28.04,1942,2,16,Cold,Dry
281,0,48.02,28.04,1942,2,17,Cold,Dry
282,0,53.06,24.08,1942,2,18,Cold,Dry
283,0,53.96,21.92,1942,2,19,Cold,Dry
284,0,44.06,32,1942,2,20,Cold,Dry
285,0,42.98,26.06,1942,2,21,Cold,Dry
286,0.090551181,41,21.92,1942,2,22,Cold,Damp
287,0.279527559,42.08,32,1942,2,23,Cold,Really Wet
288,0.12992126,42.08,33.98,1942,2,24,Cold,Damp
289,0,50,30.92,1942,2,25,Cold,Dry
290,0.051181102,44.96,30.02,1942,2,26,Cold,Damp
291,0.11023622,46.04,35.96,1942,2,27,Cold,Damp
292,0,50,37.94,1942,2,28,Cold,Dry
293,0.161417323,57.92,35.06,1942,3,1,Cold,Really Wet
294,0.12992126,51.98,44.06,1942,3,2,Cold,Damp
295,0,55.04,30.92,1942,3,3,Cold,Dry
296,0,55.04,32,1942,3,4,Cold,Dry
297,0.141732283,50,39.92,1942,3,5,Cold,Really Wet
298,0,53.96,28.04,1942,3,6,Cold,Dry
299,0,57.02,30.02,1942,3,7,Cold,Dry
300,0.220472441,53.96,30.92,1942,3,8,Cold,Really Wet
301,0.480314961,55.04,39.02,1942,3,9,Cold,Really Wet
302,0,57.02,28.94,1942,3,10,Cold,Dry
303,0.011811024,50,35.06,1942,3,11,Cold,Damp
304,0.208661417,48.92,28.04,1942,3,12,Cold,Really Wet
305,0.291338583,46.04,32,1942,3,13,Cold,Really Wet
306,0,48.02,28.94,1942,3,14,Cold,Dry
307,0.070866142,44.96,26.96,1942,3,15,Cold,Damp
308,0,51.08,30.92,1942,3,16,Cold,Dry
309,0.161417323,51.98,37.94,1942,3,17,Cold,Really Wet
310,0,53.96,33.08,1942,3,18,Cold,Dry
311,0,55.94,26.96,1942,3,19,Cold,Dry
312,0,60.08,28.94,1942,3,20,Cold,Dry
313,0.181102362,50,30.02,1942,3,21,Cold,Really Wet
314,0.350393701,48.02,32,1942,3,22,Cold,Really Wet
315,0.031496063,44.96,32,1942,3,23,Cold,Damp
316,0.019685039,44.96,28.94,1942,3,24,Cold,Damp
317,0.11023622,51.98,30.92,1942,3,25,Cold,Damp
318,0,55.94,28.04,1942,3,26,Cold,Dry
319,0,62.96,28.04,1942,3,27,Warm,Dry
320,0,62.06,35.06,1942,3,28,Warm,Dry
321,0,62.06,42.08,1942,3,29,Warm,Dry
322,0,71.96,33.08,1942,3,30,Warm,Dry
323,0.070866142,66.92,41,1942,3,31,Warm,Damp
324,0,57.92,39.92,1942,4,1,Cold,Dry
325,0,66.02,39.02,1942,4,2,Warm,Dry
326,0,62.96,41,1942,4,3,Warm,Dry
327,0,73.04,32,1942,4,4,Warm,Dry
328,0,59,37.94,1942,4,5,Cold,Dry
329,0,55.94,44.06,1942,4,6,Cold,Dry
330,0,55.04,39.02,1942,4,7,Cold,Dry
331,0,62.96,30.92,1942,4,8,Warm,Dry
332,0,69.08,37.94,1942,4,9,Warm,Dry
333,0,73.94,42.08,1942,4,10,Warm,Dry
334,0,60.98,39.92,1942,4,11,Warm,Dry
335,0,60.08,32,1942,4,12,Cold,Dry
336,0.181102362,55.94,32,1942,4,13,Cold,Really Wet
337,0.070866142,57.92,39.92,1942,4,14,Cold,Damp
338,0,66.02,44.96,1942,4,15,Warm,Dry
339,0.11023622,60.08,39.02,1942,4,16,Cold,Damp
340,0.011811024,59,30.92,1942,4,17,Cold,Damp
341,0,64.94,37.94,1942,4,18,Warm,Dry
342,0,75.02,37.94,1942,4,19,Warm,Dry
343,0,75.92,46.04,1942,4,20,Warm,Dry
344,0.019685039,57.02,39.92,1942,4,21,Cold,Damp
345,0.019685039,53.96,37.04,1942,4,22,Cold,Damp
346,0,53.96,35.96,1942,4,23,Cold,Dry
347,0.220472441,53.96,39.92,1942,4,24,Cold,Really Wet
348,0,57.92,39.92,1942,4,25,Cold,Dry
349,0.059055118,51.98,35.96,1942,4,26,Cold,Damp
350,0.090551181,51.08,39.92,1942,4,27,Cold,Damp
351,0,60.08,39.02,1942,4,28,Cold,Dry
352,0.011811024,57.02,37.94,1942,4,29,Cold,Damp
353,0.37007874,53.96,42.08,1942,4,30,Cold,Really Wet
354,0.051181102,51.08,37.04,1942,5,1,Cold,Damp
355,0,57.92,39.02,1942,5,2,Cold,Dry
356,0.039370079,57.92,39.02,1942,5,3,Cold,Damp
357,0,62.06,35.06,1942,5,4,Warm,Dry
358,0,69.98,32,1942,5,5,Warm,Dry
359,0,82.94,37.94,1942,5,6,Warm,Dry
360,0,66.92,48.02,1942,5,7,Warm,Dry
361,0,62.96,46.04,1942,5,8,Warm,Dry
362,0.090551181,51.98,41,1942,5,9,Cold,Damp
363,0.011811024,51.98,37.04,1942,5,10,Cold,Damp
364,0.011811024,55.94,30.92,1942,5,11,Cold,Damp
365,0.059055118,62.96,42.08,1942,5,12,Warm,Damp
366,0,64.94,37.04,1942,5,13,Warm,Dry
367,0,66.02,39.02,1942,5,14,Warm,Dry
368,0.251968504,69.08,48.02,1942,5,15,Warm,Really Wet
369,0,64.04,46.04,1942,5,16,Warm,Dry
370,0,68,39.92,1942,5,17,Warm,Dry
371,0.011811024,69.98,39.92,1942,5,18,Warm,Damp
372,0.200787402,64.04,51.08,1942,5,19,Warm,Really Wet
373,0.011811024,73.94,53.06,1942,5,20,Warm,Damp
374,0.070866142,75.92,51.08,1942,5,21,Warm,Damp
375,0,60.98,51.08,1942,5,22,Warm,Dry
376,0,62.06,48.92,1942,5,23,Warm,Dry
377,0.078740157,71.96,46.94,1942,5,24,Warm,Damp
378,0.409448819,62.06,50,1942,5,25,Warm,Really Wet
379,0.051181102,62.96,48.02,1942,5,26,Warm,Damp
380,0.031496063,62.06,42.08,1942,5,27,Warm,Damp
381,0.011811024,64.94,44.06,1942,5,28,Warm,Damp
382,0,69.08,48.92,1942,5,29,Warm,Dry
383,0,64.04,41,1942,5,30,Warm,Dry
384,0,60.98,41,1942,5,31,Warm,Dry
385,0,68,44.06,1942,6,1,Warm,Dry
386,0,71.06,39.92,1942,6,2,Warm,Dry
387,0,69.08,46.94,1942,6,3,Warm,Dry
388,0,75.02,39.92,1942,6,4,Warm,Dry
389,0.181102362,86,48.02,1942,6,5,Warm,Really Wet
390,0.208661417,64.04,53.06,1942,6,6,Warm,Really Wet
391,0,66.02,48.92,1942,6,7,Warm,Dry
392,0.381889764,57.92,48.92,1942,6,8,Cold,Really Wet
393,0.200787402,57.92,44.06,1942,6,9,Cold,Really Wet
394,0.118110236,62.96,48.92,1942,6,10,Warm,Damp
395,0.169291339,62.96,46.04,1942,6,11,Warm,Really Wet
396,0,73.04,41,1942,6,12,Warm,Dry
397,0,80.06,42.98,1942,6,13,Warm,Dry
398,0.531496063,59,51.98,1942,6,14,Cold,Really Wet
399,0,62.06,50,1942,6,15,Warm,Dry
400,0.279527559,60.08,46.94,1942,6,16,Cold,Really Wet
401,0.051181102,62.96,42.98,1942,6,17,Warm,Damp
402,0.051181102,62.96,42.98,1942,6,18,Warm,Damp
403,0,66.02,42.08,1942,6,19,Warm,Dry
404,0,71.06,37.94,1942,6,20,Warm,Dry
405,0,73.04,39.02,1942,6,21,Warm,Dry
406,0,77,42.08,1942,6,22,Warm,Dry
407,0.011811024,69.98,51.98,1942,6,23,Warm,Damp
408,0.161417323,68,48.92,1942,6,24,Warm,Really Wet
409,0.251968504,60.98,48.02,1942,6,25,Warm,Really Wet
410,0,69.98,53.06,1942,6,26,Warm,Dry
411,0,66.02,51.98,1942,6,27,Warm,Dry
412,0,78.08,48.92,1942,6,28,Warm,Dry
413,0,84.92,51.98,1942,6,29,Warm,Dry
414,0,100.94,55.94,1942,6,30,Warm,Dry
415,0,102.02,60.98,1942,7,1,Warm,Dry
416,0,100.04,60.08,1942,7,2,Warm,Dry
417,0,91.04,60.08,1942,7,3,Warm,Dry
418,0,75.92,51.98,1942,7,4,Warm,Dry
419,0,82.04,46.94,1942,7,5,Warm,Dry
420,0,75.02,46.94,1942,7,6,Warm,Dry
421,0,78.08,48.02,1942,7,7,Warm,Dry
422,0,75.92,48.92,1942,7,8,Warm,Dry
423,0,75.92,55.04,1942,7,9,Warm,Dry
424,0.141732283,69.98,59,1942,7,10,Warm,Really Wet
425,0.75984252,64.94,50,1942,7,11,Warm,Really Wet
426,0,73.94,44.06,1942,7,12,Warm,Dry
427,0.011811024,71.96,46.94,1942,7,13,Warm,Damp
428,0.330708661,64.04,57.92,1942,7,14,Warm,Really Wet
429,0.090551181,71.06,57.02,1942,7,15,Warm,Damp
430,0.188976378,68,55.94,1942,7,16,Warm,Really Wet
431,0.011811024,69.98,50,1942,7,17,Warm,Damp
432,0,75.02,51.98,1942,7,18,Warm,Dry
433,0,82.04,51.08,1942,7,19,Warm,Dry
434,0,95,55.04,1942,7,20,Warm,Dry
435,0,82.94,57.92,1942,7,21,Warm,Dry
436,0,78.98,57.92,1942,7,22,Warm,Dry
437,0,77,48.02,1942,7,23,Warm,Dry
438,0,84.02,50,1942,7,24,Warm,Dry
439,0,87.98,51.98,1942,7,25,Warm,Dry
440,0,80.96,53.96,1942,7,26,Warm,Dry
441,0,80.96,55.94,1942,7,27,Warm,Dry
442,0,73.04,55.04,1942,7,28,Warm,Dry
443,0,69.08,48.92,1942,7,29,Warm,Dry
444,0,78.08,48.02,1942,7,30,Warm,Dry
445,0,69.98,51.98,1942,7,31,Warm,Dry
446,0,73.04,55.04,1942,8,1,Warm,Dry
447,0,82.04,53.96,1942,8,2,Warm,Dry
448,0,82.04,53.96,1942,8,3,Warm,Dry
449,0,75.92,53.06,1942,8,4,Warm,Dry
450,0,80.96,55.04,1942,8,5,Warm,Dry
451,0,91.94,53.96,1942,8,6,Warm,Dry
452,0,87.08,55.94,1942,8,7,Warm,Dry
453,0,84.02,53.96,1942,8,8,Warm,Dry
454,0,82.94,53.96,1942,8,9,Warm,Dry
455,0,69.98,55.04,1942,8,10,Warm,Dry
456,0,77,55.04,1942,8,11,Warm,Dry
457,0,75.92,48.92,1942,8,12,Warm,Dry
458,0,82.94,44.06,1942,8,13,Warm,Dry
459,0,95,48.92,1942,8,14,Warm,Dry
460,0,98.96,51.98,1942,8,15,Warm,Dry
461,0,86,53.96,1942,8,16,Warm,Dry
462,0,82.04,53.96,1942,8,17,Warm,Dry
463,0,89.06,51.98,1942,8,18,Warm,Dry
464,0,89.06,55.04,1942,8,19,Warm,Dry
465,0,82.04,59,1942,8,20,Warm,Dry
466,0,80.96,57.92,1942,8,21,Warm,Dry
467,0,91.04,55.94,1942,8,22,Warm,Dry
468,0,75.92,53.06,1942,8,23,Warm,Dry
469,0,69.98,53.96,1942,8,24,Warm,Dry
470,0.11023622,68,51.98,1942,8,25,Warm,Damp
471,0,68,46.94,1942,8,26,Warm,Dry
472,0,66.92,46.04,1942,8,27,Warm,Dry
473,0,71.06,51.98,1942,8,28,Warm,Dry
474,0,78.98,46.94,1942,8,29,Warm,Dry
475,0,75.92,42.98,1942,8,30,Warm,Dry
476,0,82.94,42.08,1942,8,31,Warm,Dry
477,0,84.92,41,1942,9,1,Warm,Dry
478,0,78.98,46.94,1942,9,2,Warm,Dry
479,0,69.08,46.04,1942,9,3,Warm,Dry
480,0,73.94,53.06,1942,9,4,Warm,Dry
481,0.070866142,69.98,50,1942,9,5,Warm,Damp
482,0,80.06,44.06,1942,9,6,Warm,Dry
483,0,82.04,44.96,1942,9,7,Warm,Dry
484,0,82.04,46.04,1942,9,8,Warm,Dry
485,0,71.06,51.98,1942,9,9,Warm,Dry
486,0,69.98,48.92,1942,9,10,Warm,Dry
487,0,75.02,42.08,1942,9,11,Warm,Dry
488,0,80.06,42.98,1942,9,12,Warm,Dry
